method,metrics,mean,var,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25,trial_26,trial_27,trial_28,trial_29,trial_30,trial_31,trial_32,trial_33,trial_34,trial_35,trial_36,trial_37,trial_38,trial_39,trial_40,trial_41,trial_42,trial_43,trial_44,trial_45,trial_46,trial_47,trial_48,trial_49,trial_50,trial_51,trial_52,trial_53,trial_54,trial_55,trial_56,trial_57,trial_58,trial_59,trial_60,trial_61,trial_62,trial_63,trial_64,trial_65,trial_66,trial_67,trial_68,trial_69,trial_70,trial_71,trial_72,trial_73,trial_74,trial_75,trial_76,trial_77,trial_78,trial_79,trial_80,trial_81,trial_82,trial_83,trial_84,trial_85,trial_86,trial_87,trial_88,trial_89,trial_90,trial_91,trial_92,trial_93,trial_94,trial_95,trial_96,trial_97,trial_98,trial_99,trial_100
imbalanced,Accuracy,0.9684285714285705,0.00040113378684807245,0.9714285714285714,0.9428571428571428,0.9714285714285714,0.9428571428571428,0.9571428571428572,0.9571428571428572,0.9857142857142858,0.9571428571428572,0.9428571428571428,0.9714285714285714,0.9857142857142858,1.0,0.9714285714285714,0.9857142857142858,0.9857142857142858,1.0,0.9714285714285714,0.9285714285714286,0.9571428571428572,0.9857142857142858,0.9714285714285714,0.9857142857142858,0.9714285714285714,0.9142857142857143,0.9857142857142858,0.9857142857142858,0.9714285714285714,0.9857142857142858,0.9714285714285714,0.9571428571428572,0.9857142857142858,0.9571428571428572,0.9714285714285714,0.9428571428571428,0.9285714285714286,1.0,0.9857142857142858,0.9571428571428572,0.9571428571428572,0.9714285714285714,1.0,0.9714285714285714,0.9714285714285714,0.9285714285714286,0.9714285714285714,0.9571428571428572,0.9714285714285714,0.9714285714285714,0.9571428571428572,0.9428571428571428,0.9714285714285714,0.9714285714285714,0.9285714285714286,0.9714285714285714,0.9714285714285714,0.9285714285714286,0.9571428571428572,0.9714285714285714,0.9571428571428572,0.9857142857142858,0.9714285714285714,0.9571428571428572,0.9714285714285714,0.9714285714285714,0.9571428571428572,0.9857142857142858,0.9714285714285714,1.0,0.9571428571428572,0.9714285714285714,0.9857142857142858,0.9857142857142858,0.9285714285714286,0.9571428571428572,0.9571428571428572,0.9714285714285714,0.9285714285714286,0.9142857142857143,0.9857142857142858,0.9857142857142858,0.9857142857142858,0.9857142857142858,0.9714285714285714,0.9857142857142858,0.9857142857142858,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9857142857142858,1.0,0.9714285714285714,0.9428571428571428,0.9714285714285714,0.9571428571428572,0.9714285714285714,0.9714285714285714,1.0,1.0,1.0,0.9428571428571428
imbalanced,Recall,0.8533085168055046,0.00798985369284018,0.9166666666666666,0.75,0.8666666666666667,0.75,0.8125,0.8,0.9285714285714286,0.8125,0.6923076923076923,0.875,0.9285714285714286,1.0,0.9130434782608695,0.9375,0.9230769230769231,1.0,0.875,0.7058823529411765,0.8,0.9444444444444444,0.8461538461538461,0.9375,0.875,0.6666666666666666,0.9166666666666666,0.9285714285714286,0.9,0.9285714285714286,0.8947368421052632,0.8125,0.9444444444444444,0.8,0.8666666666666667,0.7894736842105263,0.6428571428571429,1.0,0.9444444444444444,0.7857142857142857,0.7272727272727273,0.8461538461538461,1.0,0.8666666666666667,0.8181818181818182,0.6875,0.8666666666666667,0.75,0.8666666666666667,0.875,0.8,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.7619047619047619,0.8571428571428571,0.8666666666666667,0.6875,0.7857142857142857,0.8333333333333334,0.8421052631578947,0.9285714285714286,0.8823529411764706,0.7692307692307693,0.8823529411764706,0.8666666666666667,0.8125,0.9090909090909091,0.8666666666666667,1.0,0.7692307692307693,0.8461538461538461,0.875,0.9166666666666666,0.6875,0.7692307692307693,0.8125,0.8888888888888888,0.6875,0.6470588235294118,0.9333333333333333,0.9285714285714286,0.9166666666666666,0.9411764705882353,0.8571428571428571,0.9444444444444444,0.9285714285714286,0.8888888888888888,0.875,0.8333333333333334,0.9411764705882353,1.0,0.8333333333333334,0.75,0.8823529411764706,0.8571428571428571,0.8,0.8666666666666667,1.0,1.0,1.0,0.8
imbalanced,Precision,0.9983974358974358,0.00012732104078257944,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9230769230769231,1.0,1.0,1.0,1.0,1.0,1.0
imbalanced,F-measure,0.9175619416901319,0.002846973516458628,0.9166666666666666,0.8571428571428571,0.9285714285714286,0.8571428571428571,0.896551724137931,0.888888888888889,0.962962962962963,0.896551724137931,0.8181818181818181,0.9333333333333333,0.962962962962963,1.0,0.9545454545454545,0.967741935483871,0.9600000000000001,1.0,0.9333333333333333,0.8275862068965517,0.888888888888889,0.9714285714285714,0.9166666666666666,0.967741935483871,0.9333333333333333,0.8,0.9565217391304348,0.962962962962963,0.9473684210526316,0.962962962962963,0.9444444444444444,0.896551724137931,0.9714285714285714,0.888888888888889,0.9285714285714286,0.8823529411764706,0.782608695652174,1.0,0.9714285714285714,0.88,0.8421052631578948,0.9166666666666666,1.0,0.9285714285714286,0.9,0.8148148148148148,0.9285714285714286,0.8571428571428571,0.9285714285714286,0.9333333333333333,0.888888888888889,0.8333333333333333,0.8333333333333333,0.923076923076923,0.8648648648648648,0.923076923076923,0.9285714285714286,0.8148148148148148,0.88,0.9090909090909091,0.9142857142857143,0.962962962962963,0.9375,0.8695652173913044,0.9375,0.9285714285714286,0.896551724137931,0.9523809523809523,0.9285714285714286,1.0,0.8695652173913044,0.9166666666666666,0.9333333333333333,0.9565217391304348,0.8148148148148148,0.8695652173913044,0.896551724137931,0.9411764705882353,0.8148148148148148,0.7857142857142858,0.9655172413793104,0.962962962962963,0.9565217391304348,0.9696969696969697,0.923076923076923,0.9714285714285714,0.962962962962963,0.9411764705882353,0.9333333333333333,0.9090909090909091,0.9696969696969697,1.0,0.9090909090909091,0.8571428571428571,0.9375,0.888888888888889,0.888888888888889,0.9285714285714286,1.0,1.0,1.0,0.888888888888889
SMOTE,Accuracy,0.9866363636363635,0.00013766591535186592,1.0,0.9818181818181818,0.990909090909091,0.9727272727272728,0.9727272727272728,1.0,1.0,0.9727272727272728,0.990909090909091,0.990909090909091,0.9636363636363636,1.0,0.9636363636363636,0.9727272727272728,1.0,1.0,0.990909090909091,0.990909090909091,0.9727272727272728,0.9818181818181818,1.0,0.9545454545454546,0.9727272727272728,1.0,1.0,1.0,0.9818181818181818,0.990909090909091,0.9818181818181818,0.9545454545454546,0.9727272727272728,0.9818181818181818,1.0,1.0,0.990909090909091,0.9818181818181818,0.9818181818181818,0.990909090909091,0.9636363636363636,1.0,0.9818181818181818,1.0,1.0,1.0,0.9818181818181818,0.990909090909091,0.9818181818181818,0.990909090909091,1.0,0.9818181818181818,1.0,1.0,0.9818181818181818,0.9818181818181818,0.9818181818181818,0.990909090909091,0.990909090909091,1.0,0.9727272727272728,1.0,1.0,0.990909090909091,0.9818181818181818,0.9818181818181818,0.990909090909091,0.990909090909091,1.0,0.9636363636363636,0.990909090909091,0.9818181818181818,0.990909090909091,0.990909090909091,0.9818181818181818,0.990909090909091,0.9818181818181818,1.0,0.9818181818181818,1.0,0.9818181818181818,0.9818181818181818,0.9818181818181818,0.9818181818181818,0.9727272727272728,0.9818181818181818,0.990909090909091,0.9818181818181818,0.990909090909091,0.990909090909091,0.990909090909091,0.9545454545454546,0.9818181818181818,0.990909090909091,0.990909090909091,1.0,0.9818181818181818,1.0,0.9818181818181818,1.0,0.9636363636363636,0.9818181818181818
SMOTE,Recall,0.9807402186438727,0.00045543202369166747,1.0,0.9830508474576272,0.9807692307692307,0.9454545454545454,0.9482758620689655,1.0,1.0,0.9473684210526315,1.0,0.9807692307692307,0.9661016949152542,1.0,0.9454545454545454,0.9482758620689655,1.0,1.0,0.9824561403508771,1.0,0.9615384615384616,0.9607843137254902,1.0,0.9272727272727272,0.9482758620689655,1.0,1.0,1.0,1.0,1.0,0.9607843137254902,0.9245283018867925,0.9454545454545454,0.9655172413793104,1.0,1.0,0.9824561403508771,1.0,0.9807692307692307,0.9803921568627451,0.9433962264150944,1.0,0.9655172413793104,1.0,1.0,1.0,1.0,1.0,0.9607843137254902,0.9811320754716981,1.0,0.9807692307692307,1.0,1.0,0.9649122807017544,1.0,0.9807692307692307,0.9803921568627451,0.9811320754716981,1.0,0.9423076923076923,1.0,1.0,0.9824561403508771,1.0,0.9807692307692307,0.9803921568627451,0.9811320754716981,1.0,0.9230769230769231,0.9803921568627451,0.9803921568627451,0.9824561403508771,1.0,0.9807692307692307,0.9803921568627451,0.9811320754716981,1.0,0.9615384615384616,1.0,0.9803921568627451,1.0,1.0,0.9615384615384616,0.9411764705882353,0.9811320754716981,0.9855072463768116,0.9615384615384616,0.9803921568627451,1.0,1.0,0.9298245614035088,0.9807692307692307,0.9803921568627451,0.9811320754716981,1.0,0.9615384615384616,1.0,0.9803921568627451,1.0,0.9473684210526315,0.9791666666666666
SMOTE,Precision,0.9917896007812312,0.00014886197996818228,1.0,0.9830508474576272,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,0.9661016949152542,1.0,0.9811320754716981,1.0,1.0,1.0,1.0,0.98,0.9803921568627451,1.0,1.0,0.9807692307692307,1.0,1.0,1.0,1.0,0.9607843137254902,0.9811320754716981,1.0,0.98,1.0,1.0,1.0,1.0,1.0,0.9607843137254902,0.9807692307692307,1.0,0.9803921568627451,1.0,1.0,1.0,1.0,1.0,0.9607843137254902,0.9811320754716981,1.0,1.0,1.0,0.9807692307692307,1.0,1.0,1.0,0.9607843137254902,0.9807692307692307,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9607843137254902,0.9807692307692307,1.0,1.0,1.0,1.0,1.0,0.9803921568627451,1.0,0.98,0.9807692307692307,1.0,0.9811320754716981,1.0,1.0,1.0,0.9803921568627451,0.9661016949152542,0.9607843137254902,1.0,1.0,0.9811320754716981,1.0,1.0,1.0,0.9807692307692307,0.9827586206896551,0.9814814814814815,0.9807692307692307,1.0,1.0,1.0,1.0,1.0,0.9803921568627451,1.0,0.9818181818181818,0.9791666666666666
SMOTE,F-measure,0.9860707482429071,0.00014691987022755445,1.0,0.9830508474576272,0.9902912621359222,0.9719626168224299,0.9734513274336283,1.0,1.0,0.972972972972973,0.98989898989899,0.9902912621359222,0.9661016949152542,1.0,0.9629629629629629,0.9734513274336283,1.0,1.0,0.9911504424778761,0.98989898989899,0.970873786407767,0.98,1.0,0.9532710280373831,0.9734513274336283,1.0,1.0,1.0,0.98,0.9904761904761905,0.98,0.9514563106796116,0.9719626168224299,0.9824561403508771,1.0,1.0,0.9911504424778761,0.98,0.9807692307692307,0.99009900990099,0.9615384615384616,1.0,0.9824561403508771,1.0,1.0,1.0,0.98,0.9904761904761905,0.98,0.9904761904761905,1.0,0.9807692307692307,1.0,1.0,0.9821428571428572,0.98,0.9807692307692307,0.99009900990099,0.9904761904761905,1.0,0.9702970297029703,1.0,1.0,0.9911504424778761,0.98,0.9807692307692307,0.99009900990099,0.9904761904761905,1.0,0.9600000000000001,0.99009900990099,0.9803921568627451,0.9911504424778761,0.98989898989899,0.9807692307692307,0.99009900990099,0.9811320754716981,1.0,0.9803921568627451,1.0,0.9803921568627451,0.9827586206896551,0.98,0.9803921568627451,0.9696969696969697,0.9811320754716981,0.9927007299270074,0.9803921568627451,0.99009900990099,0.9902912621359222,0.9913043478260869,0.954954954954955,0.9807692307692307,0.99009900990099,0.9904761904761905,1.0,0.9803921568627451,1.0,0.9803921568627451,1.0,0.9642857142857142,0.9791666666666666
Borderline-SMOTE,Accuracy,0.9824545454545455,8.056599048334591e-05,0.990909090909091,0.9636363636363636,0.990909090909091,0.9636363636363636,0.9818181818181818,0.9818181818181818,0.9818181818181818,0.990909090909091,0.9818181818181818,0.9818181818181818,0.9636363636363636,0.990909090909091,0.9727272727272728,0.9818181818181818,0.9818181818181818,0.9818181818181818,0.990909090909091,0.9818181818181818,0.9727272727272728,0.9818181818181818,0.9818181818181818,0.9636363636363636,0.9818181818181818,0.990909090909091,0.9818181818181818,1.0,0.9818181818181818,0.9818181818181818,0.9818181818181818,0.990909090909091,0.9636363636363636,0.9818181818181818,0.9818181818181818,0.9818181818181818,0.990909090909091,0.9818181818181818,0.9727272727272728,0.990909090909091,0.9818181818181818,0.9818181818181818,0.9818181818181818,0.990909090909091,0.9818181818181818,0.990909090909091,0.9818181818181818,0.9818181818181818,0.9818181818181818,0.990909090909091,0.9818181818181818,0.9636363636363636,0.9818181818181818,0.9818181818181818,0.990909090909091,0.9818181818181818,0.9727272727272728,0.9818181818181818,0.990909090909091,0.9818181818181818,0.9727272727272728,0.9818181818181818,0.9818181818181818,0.990909090909091,0.9818181818181818,0.9818181818181818,0.9818181818181818,0.9818181818181818,0.9818181818181818,0.9727272727272728,0.990909090909091,0.9818181818181818,0.990909090909091,0.9818181818181818,0.9818181818181818,0.9818181818181818,0.990909090909091,0.9818181818181818,0.9727272727272728,1.0,0.9818181818181818,0.990909090909091,0.9818181818181818,0.9818181818181818,0.9818181818181818,0.990909090909091,0.9818181818181818,0.9727272727272728,1.0,0.990909090909091,1.0,0.9545454545454546,0.9727272727272728,0.9818181818181818,0.990909090909091,0.9818181818181818,0.9727272727272728,0.990909090909091,0.990909090909091,1.0,0.9545454545454546,0.990909090909091
